rule,ticker,entry,exit,hold_days,return_pct,baseline_pct,excess_pct,max_drawdown_pct
fixed_60,CIFR,2025-09-23,2025-12-18,61,7.0671379997101935,2.820388058917574,4.24674994079262,-42.73573394253223
fixed_60,CIFR,2025-10-07,2026-01-05,61,15.301586332775297,8.519969554085955,6.781616778689341,-42.73573394253223
fixed_60,CIFR,2025-10-21,2026-01-20,61,-0.8575417986333767,12.852378557866476,-13.709920356499852,-42.73573394253223
fixed_60,CORZ,2024-06-11,2024-09-09,61,14.810562068923616,-4.204146453104058,19.014708522027675,-29.743586315963388
fixed_60,CORZ,2024-06-26,2024-09-23,61,25.52763829691591,5.870197919516169,19.657440377399745,-29.743586315963388
fixed_60,HUT,2024-06-28,2024-09-25,61,-16.410941132145673,7.087380116826225,-23.498321248971898,-56.999522843894134
fixed_60,HUT,2024-07-15,2024-10-09,61,-45.149998664855964,2.189420191724151,-47.33941885658011,-56.999522843894134
fixed_60,HUT,2024-11-08,2025-02-10,61,6.254789066806388,6.858355051143568,-0.6035659843371801,-35.152113892934544
fixed_60,HUT,2024-11-22,2025-02-25,61,-42.63117344988372,-9.967933370125586,-32.66324007975813,-50.826719582976885
fixed_60,BTDR,2023-12-12,2024-03-12,61,5.71428846196691,32.40685270700055,-26.69256424503364,-55.01097248687983
fixed_60,BTDR,2023-12-27,2024-03-26,61,-49.30504908806551,21.52497550543614,-70.83002459350165,-55.01097248687983
fixed_60,BTDR,2024-07-02,2024-09-27,61,-27.304049698836874,7.338697921364281,-34.642747620201156,-56.119164446161705
fixed_60,BTDR,2024-11-20,2025-02-21,61,10.092512822668166,2.2011517111339027,7.891361111534262,-49.846743443416095
fixed_60,BTDR,2024-12-05,2025-03-07,61,-35.21790166932325,-21.482106092785106,-13.735795576538143,-64.52107243854228
fixed_60,BTDR,2024-12-24,2025-03-26,61,-56.91850658484605,-18.404776701254,-38.51372988359205,-64.52107243854228
fixed_60,BTDR,2025-10-20,2026-01-16,61,-38.05240382621451,13.226130648849068,-51.27853447506357,-61.830268496806376
fixed_60,BTDR,2026-06-09,2026-08-25,53,-35.15221102353302,-9.37059619812158,-25.781614825411438,-52.56550368372328
volume_decay,AVGO,2023-12-26,2024-01-02,4,-4.109061922623669,-2.9896179367052276,-1.1194439859184415,-4.109061922623669
volume_decay,AVGO,2025-01-06,2025-01-14,5,-4.953274760670546,-4.424331019983078,-0.5289437406874674,-5.1182346649420225
volume_decay,MRVL,2024-12-24,2025-01-03,6,1.9232419230674092,1.5018327081618024,0.4214092149056069,-4.743424302921307
