ticker,category,date,price,volume_ratio,price_change_pct,fwd_5d_pct,base_5d_pct,excess_5d_pct,fwd_10d_pct,base_10d_pct,excess_10d_pct,fwd_20d_pct,base_20d_pct,excess_20d_pct,fwd_30d_pct,base_30d_pct,excess_30d_pct,market_cap_busd,size_bucket,persistence_days,persistence_bucket
CRDO,Networking and Optics,2026-06-02,229.0,1.65,46.5,2.32,-9.06,11.38,4.45,-5.18,9.62,13.14,-7.93,21.07,-9.18,-19.6,10.42,43.037038514,3. $10B - $50B,1,1. brief (1-2 days)
CRDO,Networking and Optics,2026-06-17,249.33,1.8,16.2,7.5,1.84,5.66,-2.98,-8.75,5.77,-18.71,-15.97,-2.74,-16.98,-16.52,-0.46,46.85775027378,3. $10B - $50B,7,3. persistent (6-9 days)
COHR,Networking and Optics,2024-02-06,58.0,2.08,21.7,4.43,5.49,-1.06,-0.95,4.01,-4.95,11.59,16.64,-5.05,3.47,16.33,-12.86,11.358270268,3. $10B - $50B,1,1. brief (1-2 days)
COHR,Networking and Optics,2024-06-05,66.75,1.54,15.4,5.51,4.5,1.01,6.35,7.22,-0.86,11.7,10.0,1.7,7.9,8.77,-0.87,13.0718024205,3. $10B - $50B,1,1. brief (1-2 days)
COHR,Networking and Optics,2024-08-20,78.55,1.54,35.6,1.18,1.03,0.15,-5.92,-6.08,0.16,3.09,0.27,2.83,16.44,8.17,8.27,15.3826229233,3. $10B - $50B,1,1. brief (1-2 days)
COHR,Networking and Optics,2024-09-26,92.42,1.56,21.7,2.0,-2.19,4.19,7.15,1.25,5.9,4.64,3.31,1.34,18.43,14.76,3.66,18.09881617532,3. $10B - $50B,1,1. brief (1-2 days)
COHR,Networking and Optics,2024-11-19,104.25,1.54,11.4,-3.08,3.3,-6.38,7.45,9.6,-2.15,-6.64,2.28,-8.92,1.91,6.82,-4.91,20.4155116455,3. $10B - $50B,1,1. brief (1-2 days)
COHR,Networking and Optics,2025-02-10,93.66,1.52,15.2,-5.32,0.71,-6.03,-18.72,-11.89,-6.82,-29.02,-20.62,-8.4,-19.24,-14.6,-4.64,18.341648160360002,3. $10B - $50B,1,1. brief (1-2 days)
COHR,Networking and Optics,2025-11-07,154.51,1.55,19.5,-9.82,-9.32,-0.5,-9.71,-14.44,4.73,20.29,-1.98,22.27,23.6,-4.86,28.47,30.258040329459998,3. $10B - $50B,1,1. brief (1-2 days)
COHR,Networking and Optics,2025-12-12,178.34,1.55,8.6,4.2,-0.24,4.44,5.99,-0.07,6.06,6.55,9.97,-3.41,24.0,19.14,4.86,34.92472275164,3. $10B - $50B,1,1. brief (1-2 days)
